site_no,estimates,statistic,p.value,null.value,alternative,data.name,method,parameter,conf.int,conf.int2
01315000,-0.000238007729336173,-1.15435037200198,0.248356552804379,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00076845606178398,0.000177495886944461
01315500,0.000527422806677001,2.24178188185892,0.0249754727739968,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000555556581262857,0.000916613945425577
01318500,0.000191532010978374,1.12089094092946,0.262334287449941,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000148428939470857,0.000523516391551222
01321000,0.000394002713724045,1.40529610504589,0.159933246094459,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000224207813258418,0.00103842294890205
01325000,-0.002712947853921,-4.24934774621018,0.0000214393872282921,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00404828285365655,-0.00136484067138412
01331500,-0.000205569152000115,-0.58554004376912,0.558184649422657,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00107175367555523,0.000529352787403353
01332500,0.000274405530486777,0.702648052522944,0.482275108504501,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000516595372435084,0.00110687464385461
01333000,-0.00102961974395057,-2.07448472649631,0.0380343157958867,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0019929011572089,-0.0000628515857390213
01334000,-0.0000767610516939326,-0.234216017507648,0.814817280649534,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000926478967925248,0.000685471272382659
01334500,-0.000363424654616999,-1.07070179432068,0.284303535743958,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00118080861497918,0.000393757017724754
01336000,0.00044601750366205,1.22126923414702,0.221984098056913,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000313552073702866,0.0014632074946979
01346000,0.0000172936865654084,0.0501891466087817,0.959971660406615,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000392881457894714,0.000477318094165208
01347000,0.000077760108287625,0.485161750551557,0.627561611989235,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000292815032071334,0.000412632032874679
01350000,-0.000789425994989087,-0.903404638958071,0.366311178847137,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00207448206924919,0.000875720782411502
01351500,-0.00164462628153517,-2.62656533919291,0.00862514315193095,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00270491818016994,-0.000503408495816774
01357500,0.00012783049255885,0.334594310725211,0.737931137172418,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000412157640732372,0.000793941120458134
01362200,-0.000851776166191004,-1.32164752736458,0.186285549238115,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00222897087668239,0.000523136283000794
01362500,0.000134921128084824,0.150567439826345,0.880316947769583,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00134138891787074,0.00167197749344428
01365000,-0.0000902624924889283,-0.117108008753824,0.90677446334059,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00127101021830419,0.00101258114245771
01371500,0.0000230623060798339,0.100378293217563,0.920044002220843,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000519828334966501,0.00050963306309597
01372500,-0.000416908848836811,-1.28818809629206,0.197680494654529,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00117446492917686,0.00023752651735965
01375000,-0.000671508392267257,-1.68970126916232,0.0910851203409287,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00141508029592708,0.000162368963586861
01376800,0.00198206563240821,1.97410643327875,0.0483696419955999,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000115673753716829,0.00405406433913196
01377000,-0.000484423315619464,-0.58554004376912,0.558184649422657,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0017335109661161,0.00112304523500479
01377500,0.00150503664352321,1.60605269148101,0.108262333167264,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000328884457595667,0.00323015808927217
