site_no,tau,estimates,S,sl,p.value
01411000,0.284897953,5.9074096694275e-4,349,0.003603101,0.00360308030418549
01411500,0.1444898,3.12161068464737e-4,177,0.1409628,0.140962836913241
01413500,-0.17224489,-8.9522372494146e-4,-211,0.07898258,0.078982579263783
01414500,0.05142857,3.46228781751109e-4,63,0.60402489,0.604024935149754
01415000,-0.1183673,-6.47555858066473e-4,-145,0.228381,0.228381117309063
01417000,-0.20653062,-0.00234884282914718,-253,0.03503581,0.0350358200268029
01420500,-0.008979592,-1.72308134224984e-5,-11,0.933335841,0.933335842841861
01421000,-0.1461225,-7.2551903612661e-4,-179,0.136502,0.136501935965376
01423000,-0.2163265,-0.00118053441155847,-265,0.0272218,0.0272218033869392
01425000,-0.5167347192764,-0.00250309174442907,-633,1.246175e-7,1.24617443604005e-7
01426500,-0.3763265312,-0.00132224138407129,-461,1.191665e-4,1.19166473030526e-4
01428500,-0.1787755,-6.3387933794063e-4,-219,0.06822179,0.0682217968480001
01429000,-0.03510204,-1.91160596168479e-4,-43,0.72534525,0.725345271990754
01429500,0.05306122,2.62042006479478e-4,65,0.59240723,0.592407237522452
01431500,0.05142857,3.00850853554537e-4,63,0.60402489,0.604024935149754
01434000,-0.157551,-4.66706115026168e-4,-193,0.1082623,0.108262333167264
01435000,-0.08734694,-6.8060521698005e-4,-107,0.37525392,0.375253943032718
01436000,0.03346939,5.53268437769563e-4,41,0.73793113,0.737931137172418
01437500,-0.05795918,-2.38614377473286e-4,-71,0.55818462,0.558184649422657
01438500,-0.17224489,-5.40970507893812e-4,-211,0.07898258,0.078982579263783
01439500,-0.06122449,-1.40036694444502e-4,-75,0.53591669,0.5359167048477
01440000,-0.00244898,-2.77182217141246e-5,-3,0.98665226,0.986652240905891
01440400,-0.06122449,-3.296193034424e-4,-75,0.53591669,0.5359167048477
01442500,0.08081633,3.9053799354257e-4,99,0.41235518,0.412355183890253
01443900,-0.12,-6.71622182097529e-4,-147,0.221984,0.221984098056913
01445500,0.04326531,1.01967547222974e-4,53,0.66358232,0.663582313144632
01446500,-0.1804082,-4.49060464174295e-4,-221,0.0657288,0.0657287969290145
01447500,-0.08571429,-4.29987848346249e-4,-105,0.38433033,0.384330348201332
01447680,0.03673469,7.59524952415001e-5,45,0.71283317,0.712833162190734
01447720,-0.03183673,-1.32129327425715e-4,-39,0.75058764,0.75058764974237
01447800,0.09877551,2.9999139746429e-4,121,0.31548333,0.315483252916377
01449360,0.1053061,4.19779523930695e-4,129,0.2843035,0.284303535743958
01449800,0.18040816,6.95754562898083e-4,221,0.06572878,0.0657287969290145
01450500,0.08244898,3.44425342307169e-4,101,0.40288162,0.402881674992069
01451000,-0.1510204,-2.6920288530585e-4,-185,0.1237717,0.123771627769974
01451500,0.25387755,0.001547577106173,311,0.009511352,0.00951134759684831
01451800,-0.01714286,-1.25431038936577e-4,-21,0.86713624,0.867136242289505
01452000,-0.1216327,-7.54906633322039e-4,-149,0.2157165,0.215716450276169
01452500,0.278367341,0.00130343026633337,341,0.004454374,0.00445438277943411
01453000,-0.04489796,-9.54910268979693e-5,-55,0.65148342,0.651483447052109
01457000,0.05142857,1.39275594741348e-4,63,0.60402489,0.604024935149754
01459500,0.03836735,3.78293396594386e-4,47,0.70039785,0.700397856394209
01463500,-0.124898,-1.81147206648743e-4,-153,0.2035656,0.203565624695496
01464000,0.01387755,6.85763176666193e-5,17,0.89353085,0.893530895868823
01464500,0.1559184,9.55170194531713e-4,191,0.1119875,0.111987494112961
01465798,0.06612245,7.5467933651933e-4,81,0.50337517,0.503375163703577
01466500,-0.23428571,-7.005066477742e-4,-287,0.01674091,0.0167409004574302
01467000,-0.01877551,-3.61709716391764e-5,-23,0.85399234,0.853992374978471
01467048,0.03020408,3.15508572292554e-4,37,0.76331162,0.763311644610786
01467150,0.3795918226,0.00458739592059777,465,1.039505e-4,1.03902139772029e-4
01469500,-0.2277551,-7.09819683649301e-4,-279,0.02004896,0.0200489543378074
01470500,-0.06938776,-2.04261345839144e-4,-85,0.48227507,0.482275108504501
01470960,-0.1804082,-6.783250473555e-4,-221,0.0657288,0.0657287969290145
